cve_id,published,year,severity,score,keyword_hits,macro_area,subcategory,description,cpe_matches,relevance_reason
CVE-2016-1639,2016-03-06T02:59:10.163,2016,CRITICAL,9.8,WebRTC,Client / Browser,Browser-side trust boundary weakness,Use-after-free vulnerability in browser/extensions/api/webrtc_audio_private/webrtc_audio_private_api.cc in the WebRTC Audio Private API implementation in Google Chrome before 49.0.2623.75 allows remote attackers to cause a denial of service or possibly have unspecified other impact by leveraging incorrect reliance on the resource context pointer.,cpe:2.3:a:google:chrome:*:*:*:*:*:*:*:*,rtc-related description/cpe/reference
CVE-2019-1764,2019-03-22T20:29:00.447,2019,HIGH,8.1,SIP,Client / Browser,Browser-side trust boundary weakness,"A vulnerability in the web-based management interface of Session Initiation Protocol (SIP) Software for Cisco IP Phone 8800 Series could allow an unauthenticated, remote attacker to conduct a cross-site request forgery (CSRF) attack. The vulnerability is due to insufficient CSRF protections for the web-based management interface of an affected device. An attacker could exploit this vulnerability by persuading an authenticated user of the interface to follow a crafted link. A successful exploit could allow the attacker to perform arbitrary actions on a targeted device via a web browser and with the privileges of the user. This vulnerability affects Cisco IP Phone 8800 Series products running a SIP Software release prior to 11.0(5) for Wireless IP Phone 8821 and 8821-EX; and 12.5(1)SR1 for the IP Conference Phone 8832 and the rest of the IP Phone 8800 Series. Cisco IP Conference Phone 8831 is not affected.",cpe:2.3:o:cisco:ip_phone_8821_firmware:*:*:*:*:*:*:*:*; cpe:2.3:h:cisco:ip_phone_8821:-:*:*:*:*:*:*:*; cpe:2.3:o:cisco:ip_phone_8821-ex_firmware:*:*:*:*:*:*:*:*; cpe:2.3:h:cisco:ip_phone_8821-ex:-:*:*:*:*:*:*:*; cpe:2.3:o:cisco:ip_conference_phone_8832_firmware:*:*:*:*:*:*:*:*; cpe:2.3:h:cisco:ip_conference_phone_8832:-:*:*:*:*:*:*:*; cpe:2.3:o:cisco:ip_phone_8800_firmware:*:*:*:*:*:*:*:*; cpe:2.3:h:cisco:ip_phone_8800:-:*:*:*:*:*:*:*,rtc-related description/cpe/reference
CVE-2020-6529,2020-07-22T17:15:14.400,2020,MEDIUM,4.3,WebRTC,Client / Browser,Browser-side trust boundary weakness,Inappropriate implementation in WebRTC in Google Chrome prior to 84.0.4147.89 allowed an attacker in a privileged network position to leak cross-origin data via a crafted HTML page.,cpe:2.3:a:google:chrome:*:*:*:*:*:*:*:*; cpe:2.3:o:debian:debian_linux:10.0:*:*:*:*:*:*:*; cpe:2.3:o:fedoraproject:fedora:31:*:*:*:*:*:*:*; cpe:2.3:o:fedoraproject:fedora:32:*:*:*:*:*:*:*; cpe:2.3:o:opensuse:leap:15.1:*:*:*:*:*:*:*; cpe:2.3:o:opensuse:leap:15.2:*:*:*:*:*:*:*; cpe:2.3:a:opensuse:backports_sle:15.0:sp2:*:*:*:*:*:*,rtc-related description/cpe/reference
CVE-2016-1962,2016-03-13T18:59:11.927,2016,CRITICAL,9.8,WebRTC,Client / Browser,Client/browser weakness,Use-after-free vulnerability in the mozilla::DataChannelConnection::Close function in Mozilla Firefox before 45.0 and Firefox ESR 38.x before 38.7 allows remote attackers to execute arbitrary code by leveraging mishandling of WebRTC data-channel connections.,cpe:2.3:a:mozilla:firefox:*:*:*:*:*:*:*:*; cpe:2.3:a:mozilla:firefox:38.0:*:*:*:*:*:*:*; cpe:2.3:a:mozilla:firefox:38.0.1:*:*:*:*:*:*:*; cpe:2.3:a:mozilla:firefox:38.0.5:*:*:*:*:*:*:*; cpe:2.3:a:mozilla:firefox:38.1.0:*:*:*:*:*:*:*; cpe:2.3:a:mozilla:firefox:38.1.1:*:*:*:*:*:*:*; cpe:2.3:a:mozilla:firefox:38.2.0:*:*:*:*:*:*:*; cpe:2.3:a:mozilla:firefox:38.2.1:*:*:*:*:*:*:*; cpe:2.3:a:mozilla:firefox:38.3.0:*:*:*:*:*:*:*; cpe:2.3:a:mozilla:firefox:38.4.0:*:*:*:*:*:*:*; cpe:2.3:a:mozilla:firefox:38.5.0:*:*:*:*:*:*:*; cpe:2.3:a:mozilla:firefox:38.5.1:*:*:*:*:*:*:*; cpe:2.3:a:mozilla:firefox:38.6.0:*:*:*:*:*:*:*; cpe:2.3:a:mozilla:firefox:38.6.1:*:*:*:*:*:*:*; cpe:2.3:o:opensuse:opensuse:13.1:*:*:*:*:*:*:*; cpe:2.3:o:oracle:linux:5.0:*:*:*:*:*:*:*; cpe:2.3:o:oracle:linux:6:*:*:*:*:*:*:*; cpe:2.3:o:oracle:linux:7:*:*:*:*:*:*:*,rtc-related description/cpe/reference
CVE-2016-1970,2016-03-13T18:59:19.570,2016,HIGH,8.8,WebRTC,Client / Browser,Client/browser weakness,Integer underflow in the srtp_unprotect function in the WebRTC implementation in Mozilla Firefox before 45.0 on Windows might allow remote attackers to cause a denial of service (memory corruption) or possibly have unspecified other impact via unknown vectors.,cpe:2.3:a:mozilla:firefox:*:*:*:*:*:*:*:*; cpe:2.3:o:microsoft:windows:*:*:*:*:*:*:*:*,rtc-related description/cpe/reference
CVE-2016-1971,2016-03-13T18:59:20.570,2016,HIGH,8.8,WebRTC,Client / Browser,Client/browser weakness,"The I420VideoFrame::CreateFrame function in the WebRTC implementation in Mozilla Firefox before 45.0 on Windows omits an unspecified status check, which might allow remote attackers to cause a denial of service (memory corruption) or possibly have other impact via unknown vectors.",cpe:2.3:a:mozilla:firefox:*:*:*:*:*:*:*:*; cpe:2.3:o:microsoft:windows:*:*:*:*:*:*:*:*,rtc-related description/cpe/reference
CVE-2016-1973,2016-03-13T18:59:22.490,2016,HIGH,8.8,WebRTC,Client / Browser,Client/browser weakness,Race condition in the GetStaticInstance function in the WebRTC implementation in Mozilla Firefox before 45.0 might allow remote attackers to execute arbitrary code or cause a denial of service (use-after-free) via unspecified vectors.,cpe:2.3:o:oracle:linux:5.0:*:*:*:*:*:*:*; cpe:2.3:o:oracle:linux:6:*:*:*:*:*:*:*; cpe:2.3:o:oracle:linux:7:*:*:*:*:*:*:*; cpe:2.3:a:mozilla:firefox:*:*:*:*:*:*:*:*,rtc-related description/cpe/reference
CVE-2016-1975,2016-03-13T18:59:24.287,2016,MEDIUM,6.3,WebRTC,Client / Browser,Client/browser weakness,Multiple race conditions in dom/media/systemservices/CamerasChild.cpp in the WebRTC implementation in Mozilla Firefox before 45.0 on Windows might allow remote attackers to cause a denial of service (memory corruption) or possibly have unspecified other impact via unknown vectors.,cpe:2.3:a:webrtc_project:webrtc:-:*:*:*:*:*:*:*; cpe:2.3:a:mozilla:firefox:*:*:*:*:*:*:*:*,rtc-related description/cpe/reference
CVE-2016-1976,2016-03-13T18:59:25.430,2016,MEDIUM,5.5,WebRTC,Client / Browser,Client/browser weakness,Use-after-free vulnerability in the DesktopDisplayDevice class in the WebRTC implementation in Mozilla Firefox before 45.0 on Windows might allow remote attackers to cause a denial of service or possibly have unspecified other impact via unknown vectors.,cpe:2.3:o:microsoft:windows:*:*:*:*:*:*:*:*; cpe:2.3:a:mozilla:firefox:*:*:*:*:*:*:*:*; cpe:2.3:a:webrtc_project:webrtc:-:*:*:*:*:*:*:*,rtc-related description/cpe/reference
CVE-2016-5258,2016-08-05T01:59:14.063,2016,HIGH,8.8,WebRTC,Client / Browser,Client/browser weakness,Use-after-free vulnerability in the WebRTC socket thread in Mozilla Firefox before 48.0 and Firefox ESR 45.x before 45.3 allows remote attackers to execute arbitrary code by leveraging incorrect free operations on DTLS objects during the shutdown of a WebRTC session.,cpe:2.3:o:oracle:linux:5.0:*:*:*:*:*:*:*; cpe:2.3:o:oracle:linux:6:*:*:*:*:*:*:*; cpe:2.3:o:oracle:linux:7:*:*:*:*:*:*:*; cpe:2.3:a:mozilla:firefox:*:*:*:*:*:*:*:*; cpe:2.3:a:mozilla:firefox:45.1.0:*:*:*:*:*:*:*; cpe:2.3:a:mozilla:firefox:45.1.1:*:*:*:*:*:*:*; cpe:2.3:a:mozilla:firefox:45.2.0:*:*:*:*:*:*:*; cpe:2.3:a:mozilla:firefox:45.3.0:*:*:*:*:*:*:*,rtc-related description/cpe/reference
